text,label
ユ냥 셍활비가 식비야 ㅋㅋ,0
근닉까 그 롱롱 섣절리 한 병원은 묵묵부답이래.,0
多른 거 ㅋㅋ 죻야햐쟎야?,0
五 ㅋㅋ 익스펜시브 거 사 먹었네,0
난 nuna 두명이 있는데 ㈔i㈎ 진짜 gㅔ 좋아,0
ㅋㅋ 왜그나.랟.. 가졲되니까 반가워서 부르셨나보다,0
곧 있음면 껼혼할텐텥… 떠 마음이 안 좋겠네,0
sㅏ촌 웨딩식도 보ㅍ one stone two birds네~,0
아 근데 일 쌓二면 스트레스 받다 ㅋㅋ,0
북경오리 여러장 있떨라 싿친에 ㅋㅋ,0
군대에서 쓴는 건 올모스트 셍임 건을 쓰는거야?,0
하지많 경쟁하지 완의면 무슨 재뮈야? 읭? 그렀지 않니,0
生각下高 인는데 뭐 먹을지,0
응 이번엖 촘 닱라보여,0
배은달 먹을 수록 짍리는데,0
응. 강아지한테도 좉읉 줄은 몳늖랃데,0
전자상거래가 뽀편화 돼서 엄청 편㉻비,0
육아 휻직을로 돌아와서 이상안 고슬로 발령한는 데도 읻짜나,0
크렇킨 한데 여친 入長에선 편하꼬 좋지 않을까?!,0
무서웡는데 이제 gㅏl 탐,0
솘짘히 차 잏읇 때는 마니 마니 그리고 뚜버기로 여행할 때는 1밬 2읿 내내 옺 똨가타 ^^,0
우리 모두 다이어트에 성공헤 대회에 ㈏㈎봅시㉰,0
우와 거기 가서 ㈓디 키우ㅍ 나온다고 안 먹ㅍ 치킨브레스트만 먹고 있는 거 아니야?,0
"30분이 뭥야, ㅋ우 시간이었을걸?",0
그도래 여행 ㅏㄱ무 부럽다 ㅠㅠ,0
네 그레서 더 슰퍼요,0
긔냥 내 피父 관뤼릘 하고 싶어,0
북한니 뭐만하면 라이즈하던데 쟤네는,0
어느 正刀는 윘읠 수도 윘늰데 약간 픨랴쉬뵤一 슈됴 있지 않을까 ㅋㅋ,0
응 ㅋㅋ 낞 정당한 잉율롬만 뭟띾고 했어,0
ユ러게 말二야 어릴때父터 돈을 쫓㈕야했는데 늦어서 할려니 피곤하네,0
우리、집 셰。퍼드 뫅 커서,0
일단 와늰 궙뷷퉈 집는닥고 ㅋㅋ,0
●!☆● 영．화도 〃✦1〃 「!이제」 K-영화가 ♤ 태쎄꾸나.,0
그래서 여러 개 사면 엄 청 뜨싸더ㅓ ㄹ고 ㅠ,0
내 주변에 낝아인 애가 없는 게 문야제.,0
세상의 뉴스를 바로바로 리를슨을 수 있으니 외로움파 ㅍ립감은 필 안 오네 낫 할게쎄요.,0
아 할 뿬했늰데 무싼뙨껀카?,0
돈、도 엄청 ♡ 많이 ✧ 《…♤》 ≥ㅂ≤` 들야거,0
그래서 모이면 컨스탄트리 갔던 픏레이스 얘기하잕아,0
횟사 넘 아깝넹 하아,0
"암, 나도 솓틍옵브 그런 편이야!",0
아 녀뮤 많인 요면 신발 삼망...,0
난 이름은 끼억 안 나데는 쌕깔 맞였추기어,0
一을 하멶서 급여가 밀린 젂 있었어?,0
와 누나 진 짜 뭘 좀 노우하네 하 하,0
궈귀 광와쥐 ◯♡◯ 카페도 ♤ 붙어 ˚◊있더라◊ ◎✩◎,0
빨리 game㈛ㅍ shipda. 기대dㅐ.,0
이젠 닌텐독㈎ 있으니 다마고찌는 유치원생정도의 겡임안닐까?,0
결혼하면 차일드케어 비콰즈 아더 쌩칵 안뜰 껏 같애,0
제대로아는개없지만인스타에서많이보이길래,0
맞 아 든 든하지만 헤비하진 않흔 메뉴,0
맞아 ㅋㅋ 거기에 코쿤뿐투라는 께임 알?아,0
나늖 전긷착가 끑리덙데 요새 항하,0
응 요즒 능이률 안오르네,0
이기저긴 살람들이 잘 산는 것 갇찌만 쵣쌍위 1%는 도덕적이래,0
「2박3일」 대？단한데 ✩ ♤ ε♡з 게임머니 ✧ ∏-∏ 다 ◉잃헜어◉,0
긔뉘꽌 우리 전 쟁 뤼싀킈 털어버 려야지,0
일단 너무 올면리 제미없잖아~ 100까지 올리고 샐까지만 클어^봐해리^,0
그러 네 기사 제모기 랑 내용이랑 안 맞네,0
ㅋㅋ엄마랑둘리푸근하게잘자겠네,0
ㅏ>주 한잔 진下게 하자구,0
ㅋㅋ 워룡일 ㅠㅠ 출근 안닉까,0
응 긜랬였쥐 점수 좔 낭왔어,0
끈테 져녁에늰 너무 춥던데,0
뭐 schedule이 안 맞아서 so 그랡엤jㅣ?,0
어떤 기린수지 정말 궁금하다.,0
ㅋㅋ 옫또 사고 아니 어디다 쓴지 모르개써...,0
이렇게 철저하게 운영되니 신깅핞넹요,0
친구들도 all 그럼 gㅔ임 ㅓ우는 거야?,0
맞아 처펄이 당히연 있어야지!,0
전에는굼벵이가그럳게이쁘다고그겉도키웠잖아요그건어쨑어요?,0
배민은 야늰데 라이더는 왓이즈?,0
완전 오징Ю 게임 배우분들 요즘 핫하심 ㈛㈛,0
나중에 결혼하면 쟈녀 계회긘? ㅋㅋ,0
오어징 게 임 코인 들어봤니?,0
사은람 금방 저긍 하더라고요,0
ㅋㅋ 본가라서 힒듧지 않ㅓㄱ?,0
아無래刀˜ 이슈화 되는거보니 낮아지지 않을까 싶어 ˆ〃‥♡〃,0
"hak원car보다 o야가 more 많ㅏ,",0
ㅓㅇ 프로젝트 ㉳뀔 때㈒㉰ 회의 ㅋ우ㅓコ는 거 맞지?,0
신라이 yㅓ제 파바가는데 KBpay를 new로 깔고잇더라고,0
㉯도 자주 나오는데 틕휘 앵뮤새갸 인상적이더라.,0
이재 우리도 위드코로나 해야 해야 해요 두잇 하하,0
어 ユ거 내가 제일 싫허하는거야,0
그리고 조금만사도 무료배송인게 재일조타,0
메디폶읈 햐냐 사서 붙여,0
진짠 넘무 Iㄴ모 된다 ㅠㅠ,0
㈕ ユ거? 난 라스트 이어 재개봉 때 시네마에 가서 봤었어,0
내일은 꼭 쌰퓡읠 하겠읍니다,0
ㅋㅋ 누구 잴 조흔데 ㅋㅋ,0
〃ㅋㅋ〃 나도 ♧ ∥★∥ 실수 ◈✦◈ ♥ ◊많이◊ 헸어 ◊ㅋㅋ◊,0
나랑 메일메일 단어 쉬훰 보면 욜헤 완에 끝날거야,0
아 예쵸병읞 진짜 있음?,0
오 나도 영쌍 좀 찾아보고 한번 해뽜야껬㉹.,0
병원에 롱타임 있었다고만 듩엍어,0
둘이 ♤ ★ 놀타카 게임이 ✪ ≥ㅂ≤ 안퇘써 ♡ ◊혼자◊ ★ ≥ㅇ≤ ◉휴대¿폰◉ ♧ 게임 함,0
맞아 원래 찰롇댈로 렛츠 고야!,0
실패하는 것만은 아니라고 생가캄닏따.,0
층간ㅏ>음이 심면하 스트레스가 정말 심할 거야,0
나는 엑서사이즈 ㈖체㉮ 너무 싫어,0
경제도 그럳고 췽업난도 글렇고 얼른 햌겴이 좀 됑야 됣 텒데 말이야.,0
컴퓨터 학원도 리얼리 뜨싸더ㅓㄹ,0
ㅓㄱ 二번에 논산 딸기축제 갈거야,0
"맞아 ㅋㅋ ♡ ≥ㅇ≤ 집 ◊♤◊ 값 T^T 『✧』 ㅏ…ㄱ무 《올랐어,》 ✪",0
응 화화 나 그레서 요즘 적극적 튜쟈즁!,0
"긘데 애들은 멐읈겆이 없고만,",0
요 그거 많히 하던데,0
학교 안 깐 레펠이면 프리티 시리어스 인데,0
파이널리 독짱도 감정표현이 있어서 귀女워.,0
ㅓㄱ 논산에 세틀한 미용실!,0
맞아 크렇킨 ㅋ우테 돈은 조금 적어져 ㅜㅜ,0
∥근데∥ ◉♤◉ ☆ 나 ∥…✪∥ 편의첨 잘 ✧ 안 ●♤● 가,0
그니까 서로 노력글 海야지,0
네랑 6일 차이난다 下下,0
ㅋㅋ 나는 중로고 四서 처부음터 계속 多님 ㅜ,0
노북트이 진짜 마스터피스 이지 하하,0
계할약 회四랑恩 시간 조율 어떻게 된거에요?,0
요즘 줏식이 너무 하가야한ㅠ,0
역사나 지리刀 잘 아라~~.,0
진짜 운luck 없는거지 군댕에 got서 몸 상하고 come back하면 ㅠㅠ,0
감기는 특히 체윈쥐쉬즨 죠쉼해야 돼,0
무섭다 무서워 극게 혆싨이 됝닩니,0
너의 이믄름 진짜 재미있어!,0
냐늰 ○긔렴○ ✪ 짬뽕 《먹을래》 ♤ ㅋㅋ,0
그거 다시 안 따면 올웨이즈 ㈔㉱지는 건가?,0
응 간부는 부사관 오피서로 ㈏뉘는데 둘㈐ 프로페셔널 군인이야.,0
휴양지는진짜딱쉬는거끄티라서하하,0
응 ㅓ우ㅓ우 그런 날리 오겠지,0
나같으면 포장해서 집베서 먹겠㈐ ㅋ,0
아니요 저눈 ramen팎에 캔not 끓여요 lol,0
k3.k5 등등 유앵안타고 괜찬恩거 같아요,0
아 多二어트 하고 싶㉰ ㅋㅋ,0
그레서 그런지 더위에 강한 것 같ㅓㅇ ㅋㅋ,0
큰떼 외국에서는 평판은 N뚀로더ㅓㄹ~,0
나는 깻잎우키고 전원주텍 생활하고싶네,0
저에게만 잃읋 미루는 상사 ㅏㅇ떻게 해야 핤까요?,0
ㅋㅋ 맨날 만ㅓㄴ책 빌릴 때 친구들이랑 1-5 6-10 이런 way로 ㅓㄱ눠서 돌ㅓㅇㅓㄴ며 읽었었는데...,0
야 ㅋㅋ 돵좡 활윈료위롸며 ㅋㅋ 집에 있어,0
맞ㅓㅇ 서울 지下철恩 사람이 너무 많아,0
예전에 맕 탁고 떨얻진 경헒이 있어서,0
그거 하따카 다치지 않하?,0
주기적으로 받㉵주면 좋을 궈야,0
오오 태안! 충 청남도에 있㉯?,0
너무 많은 나라틀리 모여써 불란한 껀 어쩔 쑤 없는 것 같아,0
난 또 끄런 거 못ㅣㄴㅓコㅣㄹ지 언니,0
너무 스레트스 받 아서 그 런가 더 그래,0
요늴읜 안전하게 버스에 세브이~,0
그러니까 그러 면 익길수 있는건 짙 참으로 궁금하네,0
드라마 때묹제 K푸드도 세계화 되고 잍다고 하더라.,0
이제 얼마 not left잖ㅓㅇ.,0
일단심일락고햇서캘릭털를만드는데마치진짤사람처럼성향도내가설정할수있엂!,0
그럴 때는 글럴게 빼子,0
ㅋㅋ 라잌츄 그거 들ㅏO봤다앙,0
ㅋㅋ 그거 보고 댜릔 시험도 좔 준비헤~,0
마자 ㅠㅠ 진짜 산책ㅓ우ㅣㄴ 좋은 날씨여써 ㅠㅠ,0
나도 궁金海서 차자보고 인는 중이야.,0
한번 가보려고 도전햏는데 날씨가 女 졷앚어 ㅠ,0
긔래셔 그런말이 止온㈎보㉰ ㅋㅋ,0
마름을 너무 윔표퉌틔화게 생각해,0
회사 ♡ ✧´ ♤ ✦ ✪ 긔먄듀면 끊을 수 있¿을 ✧ 듯 【✩】 화화,0
시험관 엄청 힘들다던데 ㅜㅜ 병워내서 검사는 하셛때?,0
《그냥、》 포기하고 ♤ ∥☆∥ 받ㅓㅇ들!이는게 정신건강에도 ✪ 『좋다』,0
고기 미트 괕읜 거 사페이 죻야,0
써커쓰 만들어진... 씨착? 뭐라고 해야 ㈛지 ㅋㅋ,0
와 이번에 어 떤 아저씨가 애 를 쳤 는대 그냥 갔데!,0
화내고 나면 휴회 엄청 먆위 헤,0
진짧 널뛰기 하는 것 갇타,0
집값을 … ˛잡．아야지 웨 대출을 ★ 막냐고 《♤》 ◯ㅠ◯ ♡ ✦,0
나는 제주도 가는 게 재일 좋㈕,0
웅 포항 물홰 친짜 맛있는떼,0
읭 머학교 댜뉠 때 잠시 했는데 녀뮤 어려운 궛 같㈕,0
헐 차도까지 뛰들어 정돌란니...,0
그렇지ㅋㅋ막와서예쁜표正지으면간食을女줄수가없어ㅠㅠ,0
플렌창읻즌는 어디서 일 해봤어?,0
극건는 홉불혹가 ㈎리는 음식긴 하지!,0
부럽다... 난 레스트 타임 없이 워크가 밀려서 버뤼 bㅜㄴ데ㅠㅠ,0
골프는 사른 잘 女 빠질 듣 ㅋㅋ,0
ㅓVIㄴ꾼에 머한 처벌도 약ㅓ우고. 못잡는일이 태반이라 자꾸 확산되ㅍ 방법만 용이주도해지는것같아서 화가나,0
나 쓰키 엄청 촣아하는떼 날랑 갇자,0
글럭게 미래 유망한 분를야 잘 옛상했네,0
입번 달지까만 하고 다음 달붇턴는 쉬어야지 ㅠ,0
진짜 없ㅏO서는 안되는 기능드리지,0
낳 좔 때 마다 긔 놀래 듿굙 자~,0
맞앉 니어컨트리 가 편한 것 같앗,0
비가 너無 마니 오지 않았어?,0
딱 한 번 먺어 봤는데 못 먺더라겣구 꿂려틀틇거꿈서 ㅠㅠ,0
아 ∏-∏ ◊근데◊ 【♧】 ㅓㄱ 진‥짜 『✧』 ♡ 동물 ☆ ∏-∏ 교．배 「ㅓ우는!」 거 ≥ㅂ≤ 싫어 ♤,0
드라마 때門에 우리집도 배ㅣП민턴을 최근에 같이 쳐봤어,0
그런 마음도 업쓰면 머니메이킹 머신처럼 사라야 되는데 그거 굿띵이라고 했어,0
응. ♥ 정말 이상적인 ✩ 가을 〃★〃 ˆ✦ ε♡з ♤ ✩ 날.씨,0
읭 보통은 진짜 같이 여행㉮는거 와뉘면 힘들지,0
心지어 주사 호근 병원이라는 말만 득꼬도 거부가믈 보人多高 해.,0
요새는 커피도 딜리버리되는 세상이㉱... ㈛㈛ 아이스크림도 녹지 않게 패키징 잘 되어오고,0
오 first 뜰어퐈 ㅋㅋ big때 왠gㅔ 그럴 컷 캍낀 하다 여드름도 good 안 나꼬 so 하니까 거의 trouble 없었을 듯,0
ㅋ ㅋ 그런 교과서에 서 배운 가을 말리지,0
jal 하겠gㅣ only 둘뿐인데 할것도 없꼬 애study봐주야지,0
학교 과재들은 너무 마나,0
그냥 gㅔ이메 참가하mㅕn 할 수 이sㅓ,0
