neutral,toxic,neutral_obfuscated_texts,toxic_obfuscated_texts,obfuscated_labels
그냥 생활비가 식비야 ㅋㅋ,그냥 생활비가 쳐먹는 돈이야 ㅎㅎ,ㄹ냥 ◯리빙코스트가◯ ✧ 식비야 ㅋ．ㅋ ♤,저스트 ∏-∏ ユ1냥 리빙코스트가 쳠。먹는 ☆ ≥ㅁ≤˙ 돈잉야 ✩ ◯ㅎㅎ◯,"['2-2', '8-3', '5-1', '13-2']"
그니까 그 잘못 수술한 병원은 묵묵부답이래.,그니까 그 수술 뽀록난 병원은 괘씸하게도 침묵모드네.,그니까끄잟몾쑤쑬핞병원은묵묵부답이레.,그니까끄수숤뽀록난병원은궤씸하개도칢뭌모트네.,"['1-4', '1-3', '1-1', '10']"
다른 거 ㅋㅋ 좋아하잖아?,다른 거 홍어냄새 좋아하잖아? 역겹다,달른 거 ㅋㅋ 죻화화쟎야?,댤릔 거 홍어냄새 죻쟎화야햐? 역겹닺,"['2-3', '2-1', '11', '2-2']"
오 ㅋㅋ 비싼 거 사 먹었네,오 ㅋㅋ 개비싼 거 처먹었노 ㅋㅋ,요 비싼 ≥ㅃ≤ ✧´ 거 ¨쏴 머겄네,오 ε♥з ◉개¿뷔쌴◉ ◈거◈ 쳐뭐퀐뇨 ㅋㅋ¿．,"['3-1', '2-1', '1-1', '13-2']"
난 누나 두명이 있는데 사이가 정말 좋아,난 누나 두명이 있는데 꼴페미들이라 사이가 영 시원찮아,난 누㈏ 뚜명이 있는데 이즈데 사이가 리리얼 촣아,난 누㈏ 투명이 있데는 페트니쓰미쨩 뜰라이 싸이카 체로 시원찮㉵,"['5-1', '8-3', '1-1', '11']"
ㅋㅋ 왜그랬나... 가족되니까 반가워서 부르셨나보다,ㅋㅋ 왜그랬나... 한남충들 무리에 합류하니까 반가워서 부르셨나보다, 왝글랬ㅓㄱ... 가족되니까 판캉웟써 부르셨㉯보㈐, 왝글랬㉯... 한남충틀 무ㅣㄹ에 합류하니까 반가워서 불릇셨납볻다,"['2-2', '5-1', '1-1', '6-1']"
곧 있으면 결혼할텐데… 더 마음이 안 좋겠네,곧 결혼할 텐데...찌질이랑 평생 살아야 할 생각하니 토나올 것 같네,곧 있음면 결혼할텐 laughing out loud… The 엄음이 안 쫗kㅔ네,꼳 gㅔ혼할 텐데...찓질일랑 forever 쌀앙야 할 thinkㅋ우니 ㅏㆬㅓㄱ올 cut 깥넸,"['2-2', '1-1', '6-1', '8-1']"
사촌 결혼식도 보고 일석이조네~,사촌 결혼식도 보고 일석이조네~ 근데 신부 얼굴은 좀 별로더라.,싸촌 결혼식도 보ㅍ 일조네기서~,싸촌 겨식론또 뽀꼬 일석이조네~ ㄹ데 씸푸 얼른구 좀 별로더㉱.,"['1-1', '5-1', '1-5', '11']"
아 근데 일 쌓이면 스트레스 받아 ㅋㅋ,일 쌓이면 존나 열받아서 뒤질 것 같음ㅋㅋ,㈕ 근데 一 싸히면 스트레스 팓아,일 쌓二면 존나 열㉳㉰서 뛰칠 것 깥음,"['1-1', '8-2', '3-1', '5-1']"
북경오리 여러장 있더라 사진에 ㅋㅋ,짱깨오리 연속샷 있네 ㄷㄷ 키득키득,북경오ㅣㄹ여러장읻떠라사지내ㅋㅋ,짱깨오ㅣㄹ연쏙쌷인내ㄷㄷ키득키득,"['1-3', '6-1', '1-5', '10']"
