neutral,toxic,neutral_obfuscated_texts,toxic_obfuscated_texts,obfuscated_labels
그냥 생활비가 식비야 ㅋㅋ,그냥 생활비가 쳐먹는 돈이야 ㅎㅎ,근냥生활비家식비야ㅋㅋ,그냥 生활비 家 쳠먹는 돈잉야 ㅎ ㅎ,"['8-2', '2-2', '10']"
그니까 그 잘못 수술한 병원은 묵묵부답이래.,그니까 그 수술 뽀록난 병원은 괘씸하게도 침묵모드네.,그니까 그 잘몯 㐃㐃란 병원恩 묵묵부답이래.,그니까 그 수술 뽀롱난 병원恩 괘씸하게도 침뭉모⊆비.,"['1-5', '8-2', '5-1']"
다른 거 ㅋㅋ 좋아하잖아?,다른 거 홍어냄새 좋아하잖아? 역겹다,다른 ♤ 거 ㅋㅋ ✧ 【♧】 ○♤○ 【라이킷】 ✩ 하아…잖?,〃다른〃 ♧ 거 ♧ ♥ 홍어스멜 『♤』 좋아하잖아? 디스이팅럽다 ≥ㅇ≤ ♤ ♤ ≥ㅂ≤,"['8-3', '11', '13-2']"
오 ㅋㅋ 비싼 거 사 먹었네,오 ㅋㅋ 개비싼 거 처먹었노 ㅋㅋ,오 ㅋㅋ 쀠쌴 겨 사 머껐네,오  깨쀠쌴 거 춰며겼뇨 ㅋㅋ,"['3-1', '1-1', '2-1']"
난 누나 두명이 있는데 사이가 정말 좋아,난 누나 두명이 있는데 꼴페미들이라 사이가 영 시원찮아,난 누나 두명이 있는태 싸이카 정말 좋ㅓㅇ,난 누나 두0묘이 있는모 꼴패미뜰이라 싸이까 영 씨원찮아,"['1-3', '1-1', '6-1']"
ㅋㅋ 왜그랬나... 가족되니까 반가워서 부르셨나보다,ㅋㅋ 왜그랬나... 한남충들 무리에 합류하니까 반가워서 부르셨나보다,ㅋㅋ 왜그랬나... 패밀리 뒈니까 반워가서 콜 하셨나보다,ㅋㅋ 외그렜나... 그룹에 조인하니까 반가워서 부셨르나보다,"['8-3', '11', '1-3']"
곧 있으면 결혼할텐데… 더 마음이 안 좋겠네,곧 결혼할 텐데...찌질이랑 평생 살아야 할 생각하니 토나올 것 같네,꼳 있으면 껼혼할텐떼… 더 ㅓㅁ음이 안 좋네겠,꼳 결혼할 텐.질..데이찌랑 평쌩 살ㅓㅇ야 할 생하각니 ㅏㆬㅓㄱ올 컷 캍네,"['11', '6-1', '1-1']"
사촌 결혼식도 보고 일석이조네~,사촌 결혼식도 보고 일석이조네~ 근데 신부 얼굴은 좀 별로더라.,사촍 웨딩 세레머니도 복고 잀섞잏존네~,사촌 웻딩도 보고 잇속킫칟죤네~ 귽데 신부 펭잇슨는 좀 볉로더라.,"['8-3', '2-2', '1-4']"
아 근데 일 쌓이면 스트레스 받아 ㅋㅋ,일 쌓이면 존나 열받아서 뒤질 것 같음ㅋㅋ,아 근데 일 쌓이면 쓰레트쓰 팓다 ㅋㅋ,일 쌓이면 존나 열다빧써 튀칠 것 같음ㅋㅋ,"['1-1', '2-3', '11']"
북경오리 여러장 있더라 사진에 ㅋㅋ,짱깨오리 연속샷 있네 ㄷㄷ 키득키득,beiJing duck 여뤄좡 윘dyeo롸 ㅓV진에 lol,짱깨OIL 연결샷 잇네 ㄷㄷ 큐딕큐딕,"['6-1', '2-1', '8-1']"
군대에서 쓰는 총은 다 똑같은 총을 쓰는거야?,"군대에서 쓰는 총은 다양한데, 일부 찌질이들은 k2소총만 들고 다니면서 존나 간지난다고 착각하더라",군대에서 쓰는 total은 다 똑같恩 건 쓰는거야?,"군U에서 쓰는 총은 다양한데, 잁부 찌짌이들읁 k2SM총만 듧고 다니면서 존나 KIND지낝다고 착각하더라","['1-4', '8-2', '8-1']"
하지만 경쟁하지 않으면 무슨 재미야? 응? 그렇지 않니,경쟁 안하면 인생이 노잼이지.약자는 도태되는 게 당연한 거 아님?,하만치 꼉아쨍찌 아느면 무슨 재미야? 응? 크렇찌 안니,경쟁 아나면 인쌩이 노쨈이찌.약차는 도태되는 케 당난녀 꺼 아?님,"['1-1', '1-5', '11']"
생각하고 있는데 뭐 먹을지,맛있는 거 쳐먹고 싶은데 지랄맞게 살찌면 개빡치니까 뭐 먹을지 고민되네,셍각하고 윘늰데 뭧 먹을지,맛있는 궘 쳐뭑교 싶은댚 질랄맞게 살찌면 게뺙취뉘꽈 뭐 먹을짙 교뮌되네,"['2-1', '1-3', '2-2']"
응 이번엔 좀 달라보여 ㅋㅋ,응 이번엔 좀 달라보여~ 한남충들 어그로 오지게 끌겠네 ㅎㅎ,읭 입번앤 죰 달랍봉여 ㅋㅋ,읭 입번앤 좀 달랍봉여~ 환놤츙딀 어그로 욛쥑게 끌갰내 ㅎㅎ,"['2-1', '2-2', '1-3']"
배달은 먹을 수록 질리는데,"배달은 먹을수록 질리는데, 저런 김치년들이 만든 음식은 더 먹기 싫어지네",배달恩 이트할 수록 질ㅣㄹ는데,"딜리버리 는 먹을수록 질ㅣㄹ는데, 저런 김치年들二 메이드 한 음食恩 모어 이터하기 싫ㅏㅇ지네","['8-2', '6-1', '8-3']"
응. 강아지한테도 좋을 줄은 몰랐는데,응. 냄져들한테도 좋을 줄은 몰랐는데,응.강지한아테도좋을줄恩몰랐는데,응.냄져들테한도좋을줄恩몰랐는데,"['8-2', '11', '10']"
전자상거래가 보편화 돼서 엄청 편하네 ㅋㅋ,전자상거래가 보편화돼서 무지성 충동구매 좆된다 ㅋㅋ 돈 다 썼네,전자거래상가 유니버설라이제이션 돼서 엄청 크레이지 편ㅓ우네 ㅋㅋ,전상래거자가 보돼편화서 무지성 스탠스 충동亡매 KㅓK된ㅓコ ㅋㅋ 머니 다 라이트했네,"['6-1', '11', '8-3']"
