neutral,toxic,neutral_obfuscated_texts,toxic_obfuscated_texts,obfuscated_labels
그냥 생활비가 식비야 ㅋㅋ,그냥 생활비가 쳐먹는 돈이야 ㅎㅎ,ユ냥 셍활비가 식비야 ㅋㅋ,그냥 셍활비㈎ 쳐먹는 돈이야 ㅎㅎ,"['1-3', '5-1']"
그니까 그 잘못 수술한 병원은 묵묵부답이래.,그니까 그 수술 뽀록난 병원은 괘씸하게도 침묵모드네.,근닉까 그 롱롱 섣절리 한 병원은 묵묵부답이래.,근닉까 그 숫술 뽀록난 병원은 괘씸하게도 사일런트모드네.,"['8-3', '2-2']"
다른 거 ㅋㅋ 좋아하잖아?,다른 거 홍어냄새 좋아하잖아? 역겹다,多른 거 ㅋㅋ 죻야햐쟎야?,多른 궈 홍어냄새 좋아하잖아? 역겹돠,"['2-1', '8-2']"
오 ㅋㅋ 비싼 거 사 먹었네,오 ㅋㅋ 개비싼 거 처먹었노 ㅋㅋ,五 ㅋㅋ 익스펜시브 거 사 먹었네,오 ㅋㅋ 下二프라二스 거 처먹었노 ㅋㅋ,"['8-3', '8-2']"
난 누나 두명이 있는데 사이가 정말 좋아,난 누나 두명이 있는데 꼴페미들이라 사이가 영 시원찮아,난 nuna 두명이 있는데 ㈔i㈎ 진짜 gㅔ 좋아,난 누나 two명 있는데 꼴페미들이㉱ ㈔이㉮ young 시원찮아,"['5-1', '8-1']"
ㅋㅋ 왜그랬나... 가족되니까 반가워서 부르셨나보다,ㅋㅋ 왜그랬나... 한남충들 무리에 합류하니까 반가워서 부르셨나보다,ㅋㅋ 왜그나.랟.. 가졲되니까 반가워서 부르셨나보다,ㅋㅋ 왜그랯나... 핝남충듩 무리에 합니류하까 반가워서 부르셨나보다,"['1-4', '11']"
곧 있으면 결혼할텐데… 더 마음이 안 좋겠네,곧 결혼할 텐데...찌질이랑 평생 살아야 할 생각하니 토나올 것 같네,곧 있음면 껼혼할텐텥… 떠 마음이 안 좋겠네,콛 결혼할 텐테...찌칠이랑 평생 살앙야 할 쌩칵한니 톤낭올 껏 같넻,"['1-1', '2-2']"
사촌 결혼식도 보고 일석이조네~,사촌 결혼식도 보고 일석이조네~ 근데 신부 얼굴은 좀 별로더라.,sㅏ촌 웨딩식도 보ㅍ one stone two birds네~,仆촌 웨딩식도 보고 one stone two bird 비~ 근데 bride 얼굴은 좀 별rhd더라.,"['5-1', '8-1']"
아 근데 일 쌓이면 스트레스 받아 ㅋㅋ,일 쌓이면 존나 열받아서 뒤질 것 같음ㅋㅋ,아 근데 일 쌓二면 스트레스 받다 ㅋㅋ,일 쌓二면 존나 열받다서 뒤질 것 같음ㅋㅋ,"['8-2', '2-3']"
북경오리 여러장 있더라 사진에 ㅋㅋ,짱깨오리 연속샷 있네 ㄷㄷ 키득키득,북경오리 여러장 있떨라 싿친에 ㅋㅋ,짱깽올리 연쏙썃 있네  킫득킫득,"['1-1', '2-2']"
군대에서 쓰는 총은 다 똑같은 총을 쓰는거야?,"군대에서 쓰는 총은 다양한데, 일부 찌질이들은 k2소총만 들고 다니면서 존나 간지난다고 착각하더라",군대에서 쓴는 건 올모스트 셍임 건을 쓰는거야?,"군댕엣서 쓰는 건 다양한데, 일붕 찓질읻들은 k2 라이플만 들곷 단님면서 존나 쿨하다고 착각하더라","['8-3', '2-2']"
하지만 경쟁하지 않으면 무슨 재미야? 응? 그렇지 않니,경쟁 안하면 인생이 노잼이지.약자는 도태되는 게 당연한 거 아님?,하지많 경쟁하지 완의면 무슨 재뮈야? 읭? 그렀지 않니,경쟁 않하면 인생이 뇨잼위쥐.약좌늰 도태되는 게 돵엲햖 거 와뉢?,"['1-4', '2-1']"
생각하고 있는데 뭐 먹을지,맛있는 거 쳐먹고 싶은데 지랄맞게 살찌면 개빡치니까 뭐 먹을지 고민되네,生각下高 인는데 뭐 먹을지,마신는 거 쳐먹高 시픈데 지랄막께 살찌면 개빡치니까 뭐 머글지 高민되네,"['1-5', '8-2']"
응 이번엔 좀 달라보여 ㅋㅋ,응 이번엔 좀 달라보여~ 한남충들 어그로 오지게 끌겠네 ㅎㅎ,응 이번엖 촘 닱라보여,응 이번엔 좀 닰라보여~ 핝낢충듫 어끄로 오치께 끐겣네,"['1-4', '1-1']"
배달은 먹을 수록 질리는데,"배달은 먹을수록 질리는데, 저런 김치년들이 만든 음식은 더 먹기 싫어지네",배은달 먹을 수록 짍리는데,"배달은 먹수을록 짋리늖데, 저런 긺녅치듫이 맍든 읆싥읂 더 먹기 싫어지네","['1-4', '11']"
응. 강아지한테도 좋을 줄은 몰랐는데,응. 냄져들한테도 좋을 줄은 몰랐는데,응. 강아지한테도 좉읉 줄은 몳늖랃데,응. 냄져테한들도 좋을 줈은 몴랗늖데,"['1-4', '11']"
전자상거래가 보편화 돼서 엄청 편하네 ㅋㅋ,전자상거래가 보편화돼서 무지성 충동구매 좆된다 ㅋㅋ 돈 다 썼네,전자상거래가 뽀편화 돼서 엄청 편㉻비,쩐차쌍꺼래까 보편화돼서 무지성 충동구매 奀된㉰ ㅋㅋ 똔 타 썼비,"['5-1', '1-1']"
육아 휴직으로 돌아와서 이상한 곳으로 발령하는 데도 있잖아,육아 휴직하고 돌아오니까 꼰대들이 복수하듯이 개고생하는 부서로 쳐박네,육아 휻직을로 돌아와서 이상안 고슬로 발령한는 데도 읻짜나,유갑 휴직하고 도랑온닉까 꼰대들이 복수하듯이 개고생아는 부서로 쳡박네,"['2-2', '1-5']"
그렇긴 한데 여친 입장에선 편하고 좋지 않을까?!,그렇긴 한데 김치녀 입장에선 호구 잡아서 편하고 좋지 않을까?!,크렇킨 한데 여친 入長에선 편하꼬 좋지 않을까?!,크렇낀 한데 낌치女 입장에선 호꾸 잡아서 편下高 좋지 않을까?!,"['8-2', '1-1']"
무서웠는데 이제 잘 탐,무서웠는데 이제 좆 잘탐ㅋㅋ,무서웡는데 이제 gㅏl 탐,무서웠는데 now 좋 잘탐ㅋㅋ,"['1-4', '8-1']"
솔직히 차 있을 때는 많이 많이 그리고 뚜벅이로 여행할 때는 1박 2일 내내 옷 똑같아 ^^,솔직히 차 있을 때는 개꿀인데 뚜벅이로 여행할 때는 찐따처럼 1박 2일 내내 옷 똑같아 ㅋㅋ,솘짘히 차 잏읇 때는 마니 마니 그리고 뚜버기로 여행할 때는 1밬 2읿 내내 옺 똨가타 ^^,솛짃히 차 이쓸 때는 개꿅읺데 뚜버기로 여행할 때는 찐따처럼 1밖 2잁 내내 옿 똓가타 ㅋㅋ,"['3-1', '1-4']"
우리 모두 다이어트에 성공해 대회에 나가봅시다,우리 모두 내장지방 빼서 몸짱 대회에서 김치녀들 박살내봅시다,우리 모두 다이어트에 성공헤 대회에 ㈏㈎봅시㉰,우리 모두 네장지방 뻬서 몸짱 머회에서 김치녀들 박살내봅시㈐,"['5-1', '1-3']"
우와 거기 가서 몸 키우고 나온다고 안 먹고 닭가슴살만 먹고 있는 거 아니야?,거기 가서 몸 ㄱㅇ고 나온다고 닭가슴살만 처묵하고 있는 거 아냐?살 빼려고 하루종일 닭가슴살 씹어대는 거 실화냐ㅋㅋ,우와 거기 가서 ㈓디 키우ㅍ 나온다고 안 먹ㅍ 치킨브레스트만 먹고 있는 거 아니야?,거기 ㉮서 바디 ㄱㅇㅍ 止온㉰ㅍ 치킨브레스트만 처묵㈛ㅍ 있는 거 아냐?살 빼려고 올데이 치킨브레스트 씹어대는 거 실화냐ㅋㅋ,"['8-3', '5-1']"
"30분이 뭐야, 한 시간이었을걸?","30분이 뭐야, 한시간 존맞이었을걸?","30분이 뭥야, ㅋ우 시간이었을걸?","30분임 뭐야, ㅋ우시간 존맞이었을걸?","['2-2', '6-1']"
그래도 여행 너무 부럽다 ㅠㅠ,진짜 개부럽다 ㅠㅠ나는 찌질이처럼 집구석에서 썩어가는데 남들은 다 여행가네,그도래 여행 ㅏㄱ무 부럽다 ㅠㅠ,진짜 개럽부다 ㅠㅠ나는 찌질이처럼 집구에석서 썩ㅏㅇㅓㄴ는데 남들은 ㅓコ 여행가네,"['11', '6-1']"
